Name,CID,SMILES,predicted_pIC50,predicted_IC50_nM
Procurcumenol,189061,CC1=CC(=O)C(=C(C)C)CC2C1CCC2(C)O,5.437372096456709,3652.81690084292
Quercetin,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,5.435575050361614,3667.963029523159
"Camphor, (1S)-",10050,CC1(C2CCC1(C(=O)C2)C)C,5.355709839488559,4408.493050496515
Camphor,2537,CC1(C2CCC1(C(=O)C2)C)C,5.355709839488559,4408.493050496515
D-Camphor,159055,CC1(C2CCC1(C(=O)C2)C)C,5.355709839488559,4408.493050496515
Npc54264,9543187,CC1(C2CCC1(C(=O)C2)C)C,5.355709839488559,4408.493050496515
"Camphor, (-)-",444294,CC1(C2CCC1(C(=O)C2)C)C,5.355709839488559,4408.493050496515
Guaiane,9548703,CC1CCC(CC2C1CCC2C)C(C)C,5.339382925135052,4577.381129337818
"2-Isopropenyl-4a,8-dimethyl-1,2,3,4,4a,5,6,8a-octahydronaphthalene",10123,CC1=CCCC2(C1CC(CC2)C(=C)C)C,5.334302890383842,4631.238102283682
"2,3-Dihydroxybisabola-4,10-diene",14633006,CC(CCC=C(C)C)C1CC(C(C=C1)(C)O)O,5.333006538968216,4645.082812868823
Xanthorrhizol,93135,CC1=C(C=C(C=C1)C(C)CCC=C(C)C)O,5.330771953839129,4669.0448549004395
(S)-(+)-Xanthorrhizol,11156616,CC1=C(C=C(C=C1)C(C)CCC=C(C)C)O,5.330771953839129,4669.0448549004395
2-Methyl-5-(6-methylhept-5-en-2-yl)phenol,520468,CC1=C(C=C(C=C1)C(C)CCC=C(C)C)O,5.330771953839129,4669.0448549004395
Propionic anhydride,31263,CCC(=O)OC(=O)CC,5.330031791652261,4677.009029320542
Beta-Selinene,442393,CC(=C)C1CCC2(CCCC(=C)C2C1)C,5.3225485845891445,4758.295568869761
7-Isopropenyl-4a-methyl-1-methylenedecahydronaphthalene,519361,CC(=C)C1CCC2(CCCC(=C)C2C1)C,5.3225485845891445,4758.295568869761
Nicotinic Acid,938,C1=CC(=CN=C1)C(=O)O,5.31251271550178,4869.532676837967
Camphene,6616,CC1(C2CCC(C2)C1=C)C,5.307584273422259,4925.107639752594
D-Camphene,92221,CC1(C2CCC(C2)C1=C)C,5.307584273422259,4925.107639752594
(-)-Camphene,440966,CC1(C2CCC(C2)C1=C)C,5.307584273422259,4925.107639752594
Cyclosativene,519960,CC(C)C1CCC2(C3C1C4C2(C4C3)C)C,5.299571737585021,5016.817034582243
"(+)-Cyclosativene, 99%",16212927,CC(C)C1CCC2(C3C1C4C2(C4C3)C)C,5.299571737585021,5016.817034582243
(R)-3-Methyl-6-((R)-6-methylhept-5-en-2-yl)cyclohex-2-enone,91746688,CC1=CC(=O)C(CC1)C(C)CCC=C(C)C,5.294223909967744,5078.975174318992
