CID,Name
12227246,"(3R,6Z)-3,7,11-trimethyl-1,6,10-dodecatrien-3-ol"
12242815,"(1S,2S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol"
12242824,"(1R,4S)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol"
12299866,"(E)-10,11-Dihydro-alpha-atlantone"
12299867,(Z)-alpha-Atlantone
12302594,"(1S,2R,5S,7R)-2,6,6,8-tetramethyltricyclo[5.3.1.01,5]undec-8-ene"
12304275,"(1S,2S,5S,8S)-2,6-dimethyl-9-propan-2-ylidene-11-oxatricyclo[6.2.1.01,5]undec-6-en-8-ol"
12305300,Furanoelemene
12305301,"Benzofuran, 6-ethenyl-4,5,6,7-tetrahydro-3,6-dimethyl-5-isopropenyl-, trans-"
12306049,(+)-alpha-Muurolene
12314318,"(1S,3R,5S)-2(10)-Pinen-3-ol"
12314814,"Cyclohexanone, 5-ethenyl-5-methyl-4-(1-methylethenyl)-2-(1-methylethylidene)-, (4R,5S)-rel-"
12315160,"Bicyclo[3.1.0]hexan-3-ol, 4-methylene-1-(1-methylethyl)-, [1S-(1alpha,3alpha,5alpha)]-(9CI)"
12315492,beta-Sesquiphellandrene
12635160,(-)-Myrtenyl acetate
13011408,Npc146197
13213649,Zingiberenol
13240188,Npc16157
13347318,"(S)-5-Hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)heptan-3-one"
13854255,"Spathulenol, (-)-"
13888134,"(1E)-7-Hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)-1-heptene-3,5-dione"
13922653,"(4S,5S)-(+)-Germacrone 4,5-epoxide"
13970960,(+)-(S)-Dihydro-Ar-Turmerone
14131980,"[(2S)-3-hydroxy-2-(3-methylbut-2-enoyloxy)propyl] (2Z,4E,11E)-trideca-2,4,11-trienoate"
14191392,Npc69267
14240392,(-)-Curcumol
14258872,"[(2R)-4-oxo-4-[(4E,6E,8E,11E)-trideca-4,6,8,11-tetraenoxy]butan-2-yl] (3R)-3-hydroxybutanoate"
14287395,"6-(4,5-Dihydroxy-4-methylcyclohex-2-EN-1-YL)-2-methylhept-2-EN-4-one"
14287397,Bisacurone
14367555,Turmerone
14367556,"2-Methyl-6-(4-methyl-1,4-cyclohexadien-1-yl)-2-hepten-4-one"
14427394,"1,7-Bis(4-hydroxyphenyl)-3,5-heptanediol"
14543198,"(1S)-7-Isopropylidene-1,2,3,3aalpha,4,5,6,7,8,8abeta-decahydro-1beta-hydroxy-1-methyl-4-methyleneazulen-6-one"
14632996,alpha-Turmerone
14632997,Npc239531
14632998,Isozedoarondiol
14633002,"(2E)-2-((3E,7E)-4,8-Dimethyl-10-oxo-3,7-cyclodecadien-1-ylidene)propanal"
14633004,"3-Hydroxybisabola-1,10-dien-9-one"
14633006,"2,3-Dihydroxybisabola-4,10-diene"
14633007,6-(5-Hydroxy-4-methoxy-4-methylcyclohex-2-en-1-yl)-2-methylhept-2-en-4-one
14633009,"5-(6-Methylhept-5-en-2-yl)cyclohex-2-ene-1,4-diol"
14633012,Procurcumadiol
14757966,Npc294136
15228937,beta Farnesene
16212927,"(+)-Cyclosativene, 99%"
16213616,(1-~13~C)Tetracosanoic acid
16743815,6-(4-Hydroxy-3-methylphenyl)-2-methylhept-2-EN-4-one
16743816,4-[(2S)-6-methyl-4-oxohept-5-en-2-yl]benzaldehyde
16743817,[(E)-4-(4-hydroxyphenyl)-2-oxobut-3-enyl] (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate
16743818,(6S)-6-(4-hydroxyphenyl)-2-methylhept-2-en-4-one
18502774,SureCN2153783
18953726,Methanol peroxide
20055539,Sesquisabinene hydrate
20375919,CID 20375919
20488062,Hydron phenoxide
20831623,(+)-beta-Caryophyllene
21119906,Cedr-8(15)-en-9-ol
21598795,"(1S,2S,5S,9S)-2-Methyl-6-methylidene-9-propan-2-yl-11-oxatricyclo[6.2.1.01,5]undecan-8-ol"
21612892,"5,9-Dimethyldec-8-enoate"
21637828,"(4Z,6E)-1,5-dihydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-4,6-dien-3-one"
